=====mlp_123=====
Epoch 1 - loss: 2.3028825553131105 ; sparse_categorical_accuracy : 0.09978000074625015 ; val_loss : 2.3026430408477783 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 23 - loss: 2.302746232681274 ; sparse_categorical_accuracy : 0.09793999791145325 ; val_loss : 2.302563675689697 ; val_sparse_categorical_accuracy : 0.10750000178813934
Epoch 24 - loss: 2.302696014328003 ; sparse_categorical_accuracy : 0.09985999763011932 ; val_loss : 2.302561372375488 ; val_sparse_categorical_accuracy : 0.10260000079870224
Epoch 25 - loss: 2.3026473205566407 ; sparse_categorical_accuracy : 0.09923999756574631 ; val_loss : 2.302559693145752 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 26 - loss: 2.302672262954712 ; sparse_categorical_accuracy : 0.09898000210523605 ; val_loss : 2.3025599136352537 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 27 - loss: 2.30268539855957 ; sparse_categorical_accuracy : 0.10044000297784805 ; val_loss : 2.3025575218200682 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 28 - loss: 2.302616261291504 ; sparse_categorical_accuracy : 0.1003199964761734 ; val_loss : 2.302555750656128 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 29 - loss: 2.3026718672943116 ; sparse_categorical_accuracy : 0.09802000224590302 ; val_loss : 2.302554287338257 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 30 - loss: 2.302679535217285 ; sparse_categorical_accuracy : 0.10102000087499619 ; val_loss : 2.302551857376099 ; val_sparse_categorical_accuracy : 0.14169999957084656
Epoch 31 - loss: 2.3026497590637205 ; sparse_categorical_accuracy : 0.09956000000238419 ; val_loss : 2.3025528594970703 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 32 - loss: 2.30260301902771 ; sparse_categorical_accuracy : 0.09963999688625336 ; val_loss : 2.3025481300354005 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 33 - loss: 2.3027442161560057 ; sparse_categorical_accuracy : 0.0983399972319603 ; val_loss : 2.302542250823975 ; val_sparse_categorical_accuracy : 0.10010000318288803
Epoch 34 - loss: 2.302659748382568 ; sparse_categorical_accuracy : 0.10142000019550323 ; val_loss : 2.3025399646759035 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 35 - loss: 2.302643329772949 ; sparse_categorical_accuracy : 0.1011200025677681 ; val_loss : 2.3025363414764404 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 36 - loss: 2.302635552062988 ; sparse_categorical_accuracy : 0.09923999756574631 ; val_loss : 2.3025329372406005 ; val_sparse_categorical_accuracy : 0.1298999935388565
Epoch 37 - loss: 2.3026056994628905 ; sparse_categorical_accuracy : 0.10162000358104706 ; val_loss : 2.3025275943756105 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 38 - loss: 2.3026989653015137 ; sparse_categorical_accuracy : 0.09997999668121338 ; val_loss : 2.3025233963012695 ; val_sparse_categorical_accuracy : 0.0997999981045723
Epoch 39 - loss: 2.3025582316589355 ; sparse_categorical_accuracy : 0.100040003657341 ; val_loss : 2.302519899749756 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 40 - loss: 2.302629251098633 ; sparse_categorical_accuracy : 0.10063999891281128 ; val_loss : 2.302514366531372 ; val_sparse_categorical_accuracy : 0.09470000118017197
Epoch 41 - loss: 2.302590762786865 ; sparse_categorical_accuracy : 0.09994000196456909 ; val_loss : 2.3025100177764894 ; val_sparse_categorical_accuracy : 0.09749999642372131
Epoch 42 - loss: 2.3026631386566163 ; sparse_categorical_accuracy : 0.098860003054142 ; val_loss : 2.302504071426392 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 43 - loss: 2.3026050286102295 ; sparse_categorical_accuracy : 0.10119999945163727 ; val_loss : 2.3024999977111817 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 44 - loss: 2.302604806365967 ; sparse_categorical_accuracy : 0.09972000122070312 ; val_loss : 2.3024936447143554 ; val_sparse_categorical_accuracy : 0.10199999809265137
Epoch 45 - loss: 2.3025552470397948 ; sparse_categorical_accuracy : 0.10063999891281128 ; val_loss : 2.3024891540527346 ; val_sparse_categorical_accuracy : 0.1437000036239624
Epoch 46 - loss: 2.3026042673492433 ; sparse_categorical_accuracy : 0.10226000100374222 ; val_loss : 2.3024846366882326 ; val_sparse_categorical_accuracy : 0.12129999697208405
Epoch 47 - loss: 2.302616175994873 ; sparse_categorical_accuracy : 0.10313999652862549 ; val_loss : 2.302478384780884 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 48 - loss: 2.302590132827759 ; sparse_categorical_accuracy : 0.1016400009393692 ; val_loss : 2.3024750244140626 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 49 - loss: 2.302652878189087 ; sparse_categorical_accuracy : 0.09826000034809113 ; val_loss : 2.302470771408081 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 50 - loss: 2.302565752105713 ; sparse_categorical_accuracy : 0.10357999801635742 ; val_loss : 2.302465449523926 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 51 - loss: 2.3025502908325195 ; sparse_categorical_accuracy : 0.10366000235080719 ; val_loss : 2.3024596240997313 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 52 - loss: 2.30259898147583 ; sparse_categorical_accuracy : 0.09976000338792801 ; val_loss : 2.3024535926818848 ; val_sparse_categorical_accuracy : 0.12120000272989273
Epoch 53 - loss: 2.3025566383361817 ; sparse_categorical_accuracy : 0.10266000032424927 ; val_loss : 2.302450271606445 ; val_sparse_categorical_accuracy : 0.10320000350475311
Epoch 54 - loss: 2.302529348297119 ; sparse_categorical_accuracy : 0.10136000066995621 ; val_loss : 2.3024456352233886 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 55 - loss: 2.3026038497924803 ; sparse_categorical_accuracy : 0.10187999904155731 ; val_loss : 2.30243897857666 ; val_sparse_categorical_accuracy : 0.10379999876022339
Epoch 56 - loss: 2.302631047286987 ; sparse_categorical_accuracy : 0.10000000149011612 ; val_loss : 2.3024339042663575 ; val_sparse_categorical_accuracy : 0.10029999911785126
Epoch 57 - loss: 2.3025736706542967 ; sparse_categorical_accuracy : 0.10056000202894211 ; val_loss : 2.302427291870117 ; val_sparse_categorical_accuracy : 0.10080000013113022
Epoch 58 - loss: 2.3025643029785154 ; sparse_categorical_accuracy : 0.10159999877214432 ; val_loss : 2.302419585418701 ; val_sparse_categorical_accuracy : 0.09000000357627869
Epoch 59 - loss: 2.3025451306152345 ; sparse_categorical_accuracy : 0.10531999915838242 ; val_loss : 2.302414525985718 ; val_sparse_categorical_accuracy : 0.12600000202655792
Epoch 60 - loss: 2.3024784135437013 ; sparse_categorical_accuracy : 0.10209999978542328 ; val_loss : 2.3024070476531984 ; val_sparse_categorical_accuracy : 0.08730000257492065
Epoch 61 - loss: 2.3024951154327393 ; sparse_categorical_accuracy : 0.10072000324726105 ; val_loss : 2.302400329208374 ; val_sparse_categorical_accuracy : 0.12479999661445618
Epoch 62 - loss: 2.302574005432129 ; sparse_categorical_accuracy : 0.10189999639987946 ; val_loss : 2.302393714904785 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 63 - loss: 2.3024229789733885 ; sparse_categorical_accuracy : 0.10301999747753143 ; val_loss : 2.302388961029053 ; val_sparse_categorical_accuracy : 0.11330000311136246
Epoch 64 - loss: 2.3024433740234374 ; sparse_categorical_accuracy : 0.1027199998497963 ; val_loss : 2.3023801109313964 ; val_sparse_categorical_accuracy : 0.09040000289678574
Epoch 65 - loss: 2.3025153536987304 ; sparse_categorical_accuracy : 0.10249999910593033 ; val_loss : 2.3023723937988283 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 66 - loss: 2.3024445909881592 ; sparse_categorical_accuracy : 0.10227999836206436 ; val_loss : 2.302363095855713 ; val_sparse_categorical_accuracy : 0.13519999384880066
Epoch 67 - loss: 2.3024440940856934 ; sparse_categorical_accuracy : 0.1043199971318245 ; val_loss : 2.302355392837524 ; val_sparse_categorical_accuracy : 0.1088000014424324
Epoch 68 - loss: 2.302376724624634 ; sparse_categorical_accuracy : 0.10326000303030014 ; val_loss : 2.3023480728149415 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 69 - loss: 2.3024379444885255 ; sparse_categorical_accuracy : 0.1019200012087822 ; val_loss : 2.3023382221221924 ; val_sparse_categorical_accuracy : 0.1356000006198883
Epoch 70 - loss: 2.302430028991699 ; sparse_categorical_accuracy : 0.10242000222206116 ; val_loss : 2.302330776977539 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 71 - loss: 2.302535477294922 ; sparse_categorical_accuracy : 0.10158000141382217 ; val_loss : 2.30232198638916 ; val_sparse_categorical_accuracy : 0.12960000336170197
Epoch 72 - loss: 2.3024104375457766 ; sparse_categorical_accuracy : 0.10512000322341919 ; val_loss : 2.3023129692077635 ; val_sparse_categorical_accuracy : 0.16200000047683716
Epoch 73 - loss: 2.3024351943969728 ; sparse_categorical_accuracy : 0.10614000260829926 ; val_loss : 2.3023031143188475 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 74 - loss: 2.3024518859100342 ; sparse_categorical_accuracy : 0.10326000303030014 ; val_loss : 2.302294225692749 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 75 - loss: 2.3023931021118162 ; sparse_categorical_accuracy : 0.10700000077486038 ; val_loss : 2.302286233139038 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 76 - loss: 2.302397319641113 ; sparse_categorical_accuracy : 0.10171999782323837 ; val_loss : 2.30227445602417 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 77 - loss: 2.3023773397827147 ; sparse_categorical_accuracy : 0.10611999779939651 ; val_loss : 2.3022618629455565 ; val_sparse_categorical_accuracy : 0.1151999980211258
Epoch 78 - loss: 2.3023620947265626 ; sparse_categorical_accuracy : 0.10502000153064728 ; val_loss : 2.3022505821228028 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 79 - loss: 2.3022981393432618 ; sparse_categorical_accuracy : 0.10796000063419342 ; val_loss : 2.302239122772217 ; val_sparse_categorical_accuracy : 0.12530000507831573
Epoch 80 - loss: 2.302322602157593 ; sparse_categorical_accuracy : 0.1037599965929985 ; val_loss : 2.302226749420166 ; val_sparse_categorical_accuracy : 0.11659999936819077
Epoch 81 - loss: 2.3023649173736573 ; sparse_categorical_accuracy : 0.10796000063419342 ; val_loss : 2.302214310455322 ; val_sparse_categorical_accuracy : 0.14020000398159027
Epoch 82 - loss: 2.302378376464844 ; sparse_categorical_accuracy : 0.10462000221014023 ; val_loss : 2.3022019485473635 ; val_sparse_categorical_accuracy : 0.10010000318288803
Epoch 83 - loss: 2.3022627798461914 ; sparse_categorical_accuracy : 0.10756000131368637 ; val_loss : 2.3021889686584474 ; val_sparse_categorical_accuracy : 0.12439999729394913
Epoch 84 - loss: 2.3023052908325194 ; sparse_categorical_accuracy : 0.10527999699115753 ; val_loss : 2.302174126434326 ; val_sparse_categorical_accuracy : 0.1256999969482422
Epoch 85 - loss: 2.3022680662536623 ; sparse_categorical_accuracy : 0.10657999664545059 ; val_loss : 2.302160903167725 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 86 - loss: 2.3022730447387696 ; sparse_categorical_accuracy : 0.10717999935150146 ; val_loss : 2.302147922515869 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 87 - loss: 2.3022750820922853 ; sparse_categorical_accuracy : 0.1071000024676323 ; val_loss : 2.302133236694336 ; val_sparse_categorical_accuracy : 0.09040000289678574
Epoch 88 - loss: 2.3022522035217285 ; sparse_categorical_accuracy : 0.10655999928712845 ; val_loss : 2.3021165451049805 ; val_sparse_categorical_accuracy : 0.16269999742507935
Epoch 89 - loss: 2.3021977230834962 ; sparse_categorical_accuracy : 0.1064400002360344 ; val_loss : 2.30210140914917 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 90 - loss: 2.302129877548218 ; sparse_categorical_accuracy : 0.10753999650478363 ; val_loss : 2.302086407470703 ; val_sparse_categorical_accuracy : 0.15369999408721924
Epoch 91 - loss: 2.3022184339904785 ; sparse_categorical_accuracy : 0.10773999989032745 ; val_loss : 2.3020705535888673 ; val_sparse_categorical_accuracy : 0.1298000067472458
Epoch 92 - loss: 2.302176148529053 ; sparse_categorical_accuracy : 0.10735999792814255 ; val_loss : 2.302053649520874 ; val_sparse_categorical_accuracy : 0.15000000596046448
Epoch 93 - loss: 2.3021208659362795 ; sparse_categorical_accuracy : 0.10831999778747559 ; val_loss : 2.302036213684082 ; val_sparse_categorical_accuracy : 0.11980000138282776
Epoch 94 - loss: 2.3021160800170897 ; sparse_categorical_accuracy : 0.11016000062227249 ; val_loss : 2.3020183155059812 ; val_sparse_categorical_accuracy : 0.15240000188350677
Epoch 95 - loss: 2.302066112060547 ; sparse_categorical_accuracy : 0.10772000253200531 ; val_loss : 2.3020011054992677 ; val_sparse_categorical_accuracy : 0.15760000050067902
Epoch 96 - loss: 2.3021274977111816 ; sparse_categorical_accuracy : 0.11218000203371048 ; val_loss : 2.3019829864501955 ; val_sparse_categorical_accuracy : 0.10000000149011612
Epoch 97 - loss: 2.3021569021606445 ; sparse_categorical_accuracy : 0.10892000049352646 ; val_loss : 2.301965121459961 ; val_sparse_categorical_accuracy : 0.1096000000834465
Epoch 98 - loss: 2.3021744562530517 ; sparse_categorical_accuracy : 0.10701999813318253 ; val_loss : 2.3019442073822023 ; val_sparse_categorical_accuracy : 0.1282999962568283
Epoch 99 - loss: 2.302043273162842 ; sparse_categorical_accuracy : 0.10843999683856964 ; val_loss : 2.301926370239258 ; val_sparse_categorical_accuracy : 0.14139999449253082
Epoch 100 - loss: 2.3020321509552 ; sparse_categorical_accuracy : 0.11162000149488449 ; val_loss : 2.3019049255371096 ; val_sparse_categorical_accuracy : 0.15160000324249268
